Identifier,Label,Status,Description,Created,Modified,History notes,Type
1069,Children's certificate,Discontinued,Children under 14 are not allowed in bars in public houses or hotels unless a Children's Certificate has been granted.  This allows them to sit at a table and have a meal at any time between 11am and 8pm in the area approved by the Licensing Board.,2013-04-03,2019-05-16,Name changed to 'Children's certificates' in version 4.00. Deprecated 25/01/2019 - no longer applies under current licensing legislation.  Reinstated 16/05/2019 as records still need to be kept until 2022.,Service
1039,Children's hearings,Live,A Children's Hearing is a lay tribunal of three members. It must not be wholly male or female and aims to have a balance of age and experience. One of the three panel members will chair the hearing. The hearing considers and makes decisions on the welfare of the child.,2013-04-03,2013-04-03,Name changed to 'Children's hearings' in version 4.00.,Service
1095,Children's Hearings - Supervision Requirement,Live,"If a Children's Hearing thinks compulsory measures of supervision are appropriate it will impose a supervision requirement, which may be renewed annually until the child becomes 18. The hearing has a wide scope to insert any condition in a Supervision Requirement, and the local authority is responsible for ensuring that it is implemented. In most cases the child will continue to live at home but will be under the supervision of a social worker. In some cases the hearing will decide that the child should live away from his home with relatives or foster parents, or in one of several establishments managed by local authority or voluntary organisations, such as children's homes, residential schools or secure accommodation. A hearing does not have power to fine the child or young person or his parents. All decisions made by hearings are legally binding on that child or young person.",2013-04-03,2013-04-03,Name changed to 'Children's Hearings - supervision requirement' in version 4.00,Service
1223,Children's homes independent school registration,Live,"To operate an independent school that is defined as a children's home, you need to hold a relevant registration.",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Children's homes independent school registration' in version 4.00.,Service
449,Children's libraries,Live,The children's library service offers books and computer learning facilities for children. The library may also provide CDs and cassettes and there will often be organised activities during school holidays.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Children's library service' to 'Libraries - children's services' in version 3.00. Name changed to 'Children's libraries' in version 4.00.,Service
1040,Children's panel recruitment,Live,"The Children's Panel makes vital decisions about vulnerable children in need of care or who have offended, at a Children's Hearing.
Each hearing is a lay tribunal involving three members of the panel and must consist of at least one man and one woman. It should also where possible reflect a mix of ages and experience.
The hearing is usually held in a relatively informal setting and is chaired by one of the panel members.
The local authority provides information about how to become a children's panel member. 
In Scotland the children's hearings system relies on the involvement of around 2,500 volunteers who give their time and commitment to training and serving as children's panel members.",2013-04-03,2013-04-03,Name changed to 'Children's panel recruitment' in version 4.00.,Service
1678,Children's Trust Board,Live,"Each local authority is required to have a Children's Trust Board. The term Children's Trust applies to the whole system of children's services, covering the work of partner agencies at every level, from the development of the overall strategy to the delivery of front-line services. It is local authorities who lead Children's Trusts working closely with the other local agencies with a legal duty to be part of the Trust: strategic health authorities, primary care trusts (PCTs), police authorities, local probation boards, youth offending teams, Connexions partnerships, the Learning and Skills Council for England and district councils.",2014-02-20,2019-05-16,,Service
1458,Chimney sweeping,Live,In order to reduce fire risk it is mandatory for all households to have chimneys and/or flue pipes swept on a regular basis.  Households may be required to pay the cost.,2013-04-03,2013-04-03,Added in version 3.09.,Service
852,Citizenship ceremonies,Live,Ceremonies organised for individuals who have been granted citizenship.  Attendance at the ceremony is the final step in the citizenship process and applicants for citizenship are required to attend to complete their application.  Ceremonies are typically held at regular intervals and may be for groups of new citizens or for individuals.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Citizenship ceremonies' to 'Ceremonies - citizenship' in version 3.00. Name changed to 'Citizenship ceremonies' and scope notes revised in version 4.00.,Service
895,Citizenship education,Live,"Providing pupils with the knowledge, understanding and skills which prepare them to play an active role as citizens.  Ensuring that pupils have a clear understanding of their roles, rights and responsibilities in relation to their local, national and international communities.",2013-04-03,2013-04-03,Term name changed from 'Citizenship education' to 'Education - citizenship' in version 3.00. name changed to 'Citizenship education' in version 4.00.,Service
1413,Civic buildings,Live,Information about the location and opening hours of council offices.  May also include information about public meetings and the availability of civic officials for queries.,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Civic buildings' and scope notes revised in version 4.00.,Service
1555,Civic events,Live,"In addition to formal occasions in which dignitaries are received at the city hall, citizens and associations can also be welcomed, for example in connection with a jubilee celebration, a party on receiving a decoration, handing out honours and distinctions, (exchange) projects with national and foreign partners, etc.",2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
1137,Civic liability,Live,Public administrations may be liable and could be subject to legal proceedings where property or other facilities which are owned and maintained by them cause damage or injury to people or property.,2013-04-03,2019-05-16,Name changed to 'Civic liability' and scope notes updated in version 4.00.,Service
1396,Civic meetings - public questions,Live,Sessions provided either as part of a scheduled council meeting or as a special meeting in which the public can ask questions of local councillors regarding matters of local policy and interest.,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Civic meetins - public questions' and scope notes revised in version 4.00.,Service
1045,Civic recognition and awards,Live,Recognising the outstanding achievements of individuals and groups and the contributions people make to life in the community in the form of civic recognition or awards typically at an annual awards ceremony.,2013-04-03,2013-04-03,Name changed to 'Civic recognition and awards' and scope notes revised in version 4.00.,Service
793,Civil emergencies - flooding,Live,Providing advice and information on what to do in the event of a flood.  The council may also provide equipment such as sandbags and engineering advice to help residents/businesses in the event of flooding.,2013-04-03,2013-04-03,Term name changed from 'Flooding' to 'Emergency plans for flooding' and scope notes added in version 2.02. Scope notes updated in version 3.00 to clarify council responsibility. Term name changed from 'Emergency plans for flooding' to 'Civil emergencies - flooding' in version 3.00.,Service
794,Civil emergencies - gas pipelines,Live,Councils and their partners from the emergency services and public utilities have arrangements in place to respond to emergency incidents involving a major gas pipeline.,2013-04-03,2013-04-03,"Term name changed from 'Pipelines' to 'Pipelines (emergency plans)' and scope notes added in version 2.02, updated in version 3.06. Term name changed from 'Pipelines (emergency plans)' to 'Civil emergencies - gas pipelines' in version 3.00.",Service
792,Civil emergencies - major accident hazards,Live,"Councils have statutory and discretionary multi-agency plans to respond efficiently and effectively to a known potential hazards within its area. Agencies involved can include the Police, Fire and Rescue, Ambulance Service, utilities providers and voluntary agencies.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.06. Term name changed from 'Major accident hazards' to 'Civil emergencies - major accident hazards' in version 3.00.,Service
729,Civil emergencies - social and psychological support,Live,"Provision of a range of social and psychological support services in the aftermath of a major incident affecting residents or visitors. The council will most probably work closely with voluntary and statutory agencies, so that the services they provide are complementary to those already available.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes revised in version 3.00 to include other agencies. Term name changed from 'Civil emergencies - Trauma Support Service' to 'Civil emergencies - social and psychological support' in version 3.00.,Service
875,Civil funerals,Live,"A civil funeral is a celebration reflecting the wishes of the deceased and their family. It is a personal and dignified tribute created by a professional celebrant who works closely with the family or executor and funeral director.  The celebrant will aim to create a highly personal ceremony with the help of family and/or friends -recounting the person's experiences, attributes and qualities using music, poetry, readings and personal anecdotes.  The civil funeral may be held anywhere except religious buildings and churches. The ceremony is appropriate for cremation or burial in a non-religious burial ground.",2013-04-03,2013-04-03,Term name changed from 'Civil funerals' to 'Death - funerals - civil' in version 3.00. Name changed to 'Civil funerals' in version 4.00.,Service
1750,Civil injunction,Live,"A Civil Injunction is designed to stop or prevent individuals engaging in anti-social behaviour quickly before the behaviour beings to escalate. It can offer fast and effective protection for victims and communities and set a clear standard of behaviour for perpetrators. A wide range of agencies can make use of the Civil Injunction including local councils, the Police and residential social landlords.",2015-06-22,2015-06-22,,Service
1296,Civil marriage and civil partnership venue licence,Live,The owner or manager of any premises planning to host civil weddings or partnership ceremonies must hold a licence to do so.  The licensed venue must be a permanent structure and the building itself must be in good repair and must have suitable fire precautions in place.,2013-04-03,2019-05-16,Added in version 3.08. Name updated in version 3.09. Name changed to 'Civil marriage and civil partnership venue licence' in version 4.00.,Service
1393,Civil partnership dissolution,Live,"If you want to dissolve your civil partnership, you will need to apply to a court for a dissolution order. Your civil partnership must have lasted at least one year before you can apply for a dissolution. You must prove to the court that the civil partnership has 'irretrievably' broken down - that is broken down on a permanent basis. ",2013-04-03,2013-04-03,Added in version 3.09. Scope notes updated in version 4.00,Service
1192,Claims management licence,Live,Any organisation which offers a claims management service such as dealing with compensation claims must have a licence to operate.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Claims management licence' in version 4.00.,Service
691,Clean Air Act approval,Live,The local authority is responsible for ensuring compliance with regulations such as those which control smoke emissions and the height of chimneys and those relating to the content and composition of motor fuels.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Name changed to 'Clean Air Act approval' in version 4.00.,Service
232,Client contact problems,Live,Procedures for dealing with an existing social services client who has gone missing or is out of contact for a period which gives cause for concern.  The local authority will usually act jointly with the police in dealing with such incidents.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Missing or out of contact client' to 'Social services - client contact problems' in version 3.00.  Change of name from 'Social services - client contact problems' to 'Social care - client contact problems' in version 3.07. Name changed to @client contact problems' in version 4.00.,Service
859,Clinical household waste,Live,"Collection and safe disposal of household clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",2013-04-03,2013-04-03,Term name changed from 'Household waste - clinical waste' to 'Refuse - household waste - clinical' in version 3.00. Name changed to 'Clinical household waste' in version 4.00.,Service
1683,Club gaming permit,Live,"Club gaming permits may be granted to members' clubs and miners' welfare institutes (but not commercial clubs), to authorise the use of up to 3 category B3A, B4, C or D gaming machines (3 machines in total), as well as equal chance gaming and games of chance as prescribed in the regulations.",2014-02-20,2014-02-20,,Service
1684,Club machine permit,Live,"If a club does not wish to have a club gaming permit or if they are a commercial club not permitted to provide non-machine gaming, they may apply for a club machine permit. This authorises the use of up to three category B4, C or D gaming machines (3 machines in total).",2014-02-20,2014-02-20,,Service
646,Club premises certificate,Live,"A club premises certificate is required by social, sporting or political members clubs in order to sell or supply alcohol and/or provide regulated entertainment, like musical performances or film screenings to members or guests.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish regulations. Term name changed from 'Licence - private club - late hours' to 'Licences - private club' in version 3.00. Scope notes updated in versions 3.04 and 3.05. Previously deprecated - reinstate in version 4.0.1.,Service
760,Coastal events,Live,"Provision of information and advice on events which may be ongoing or planned on waterways, in port/harbour areas or in coastal locations within the authority area.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Events (marine)' to 'Coastline - events' in version 3.00. Name changed to 'Coastal events' in version 4.00.,Service
848,Coastal protection,Live,Review and maintenance of coastal protection (sea walls etc.) within the local authority area.,2013-04-03,2013-04-03,"""Added scope notes in version 2.02. Term name changed from 'Coastal protection' to 'Coastline - protection' in version 3.00. name changed to 'Coastal protection' in version 4.00.",Service
1559,Cohabitation registration,Live,Two people living together can register their cohabitation which gives their relationship a legal status and protects the rights of both cohabitees. Registration can be for people of any realtionship who are living together including family members.,2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
523,Commercial  clinical waste disposal,Live,"Collection and safe disposal of clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - clinical waste disposal' to 'Refuse - commercial waste - clinical waste disposal' in version 3.00. Name changed to 'Commercial clinical waste disposal' in version 4.00.,Service
1316,Commercial energy assessor accreditation,Live,"""Energy performance certificates (EPCs) are required on construction, sale or rent of all commercial (non-domestic) buildings. EPCs may only be produced by accredited commercial energy assessors. 
In the UK in order to become accredited, assessors must meet in full the National Occupational Standards (NOS) in commercial energy assessment.""@en",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Commercial energy assessor accreditation' in version 4.00.,Service
93,Commercial lettings,Live,Each local authority provides a list of properties or land currently available to let within the area.,2013-04-03,2013-04-03,Term name changed from 'Lettings' to 'Commercial lettings' and scope notes added in version 2.02. Scope notes updated in version 3.00 to remove reference to purchase. Term name changed from 'Commercial lettings' to 'Land and property - commercial lettings' in version 3.00. Name changed to 'Commercial lettings' in version 4.00.,Service
900,Commercial property development,Live,"A local authority may provide financial support to help develop and redevelop industrial and commercial land and buildings.  Assistance is directed towards work which will create or enhance existing floor space, bring currently obsolete/vacant land and buildings into beneficial use and improve working conditions",2013-04-03,2013-04-03,Term name changed from 'Land and property improvement' to 'Land and property - improvement' in version 3.00. Name changed to 'Commercial property development' in version 4.00.,Service
1400,Commercial use of municipal land,Live,Land owned by the local administration (public land) may be made available for commercial use on a temporary basis.  Anyone wishing to use municipal land needs to apply to the council providing details of the proposed use and duration required.,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Commercial use of municipal land' and scope notes revised in version 4.00.,Service
1516,Commercial vehicle Sunday driving licence,Live,"In some locations certain goods vehicles, often determined by weight, are prohibited from driving on a Sunday and/or on public holidays.  Where there is good reason to operate on restricted days (for example where freight is perishable) the operator may apply for a licence to do so.",2010-10-14,2010-10-14,Added scope notes in version 3.11. Name changed to 'Commercial vehicle Sunday driving licence' in version 4.00.,Service
519,Commercial waste bins,Live,Provision of bins for the collection of trade waste.  Bins are usually offered in a variety of sizes to suit the requirements of all local businesses.  Charges are determined by the number and size of bins required.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - trade bins' to 'Refuse - commercial waste - trade bins' in version 3.00. Name changed to 'Commercial waste bins' in version 4.00.,Service
517,Commercial waste collection,Live,Provision of a regular commercial trade waste collection from local businesses. Businesses are required to provide a written description of their waste and ensure that it is packed in suitable containers.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - collection' to 'Refuse - commercial waste - collection' in version 3.00. Name changed to 'Commercial waste collection' in version 4.00.,Service
520,Commercial waste disposal sites,Live,"Disposal of commercial waste is the responsibility of the business owner.  The local authority may provide sites which business may use (for a fee) to dispose of their waste.  If available the authority will publish details of the location, opening times, terms and conditions of use and charges for the use of the sites.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - disposal sites' to 'Refuse - commercial waste - disposal sites' in version 3.00. name changed to 'Commercial waste disposal sites' in version 4.00.,Service
522,Commercial waste special collections,Live,"Any waste generated by a commercial organisation is the responsibility of the organisation to dispose of correctly. Advice on how to dispose of waste may be given by the council (including details of local organisations who offer waste collection services). The council may also provide a service which can arrange for special collections of large amounts of waste, bulky materials or confidential waste from commercial premises for a fee.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include confidential waste. Term name changed from 'Commercial waste - special trade collections' to 'Refuse - commercial waste - special trade collections' in version 3.00. Name changed to 'Commercial waste special collections' in version 4.00.,Service
518,Commercial waste spillage,Live,The Council will deal with reports of spillages of commercial waste.  Commercial customers are able to use either the service provided by the Local Authority or private contractor. Enforcement of appropriate regulations in respect of waste containment is the responsibility of the council.,2013-04-03,2013-04-03,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Commercial waste - spillage' to 'Refuse - commercial waste - spillage' in version 3.00. Name changed to 'Commerical waste spillage' in version 4.00.",Service
1532,Commitment to pay visitor charges,Live,"With a commitment to pay charges, a citizen takes on the obligation to guarantee financially the costs of health care, stay and repatriation for a foreign national during his stay in Belgium. He must complete and sign a form for this purpose.",2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
878,Common Assessment Framework,Live,The Common Assessment Framework (CAF) for Children and Young People is a key part of the strategy to shift the focus from dealing with the consequences of difficulties in children's lives to preventing things from going wrong in the first place. It is a nationally standardised approach to conducting an assessment of the needs of a child or young person and deciding how those needs should be met.,2013-04-03,2013-04-03,Term name changed from 'Common Assessment Framework' to 'Social services - Common Assessment Framework' in version 3.00.  Changed name from version 'Social services - Common Assessment Framework' to 'Social care - Common Assessment Framework' in version 3.07. Name changed to 'Common aSSESSMENT fRAMEWORK' IN VERSION 4.00.,Service
649,Common land and village greens,Live,The local authority is responsible for maintaining a register of common land and village greens within its boundaries.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Common land and village greens' in version 4.00.,Service
1369,Communal bins - permitted use,Live,Where household refuse is collected in communal bins - typically in large apartment blocks or estates - householders may require an access pass in order to use the bins.,2013-04-03,2013-04-03,Added in version 3.09. Scope notes updated in version 4.00.,Service
122,Communal heating charge,Live,"Communal heating charges for council properties are divided among all residents on an estate, the proportion is added to their rent account.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Communal heating charges' to 'Housing - council - communal heating charge' in version 3.00. Name changed to 'Communal heating charges' in version 4.00.,Service
140,Communal housing repairs,Live,"The local authority deals with repairs to communal areas within council accommodation such as communal lighting in a block of flats, or the communal drainpipes to a block of garages.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing repairs - communal areas' to 'Housing - repairs - communal areas' in version 3.00. Name changed to 'Communal housing repairs' in version 4.00.,Service
566,Communal lighting,Live,"The local authority is responsible for repairs to communal areas in blocks of flats including stairs, door entry systems, communal lighting, landings, communal windows, courtyards and sheds.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Lighting - council communal flats' to 'Housing - council - lighting' in version 3.00. Name changed to 'Communal lighting' in version 4.00.,Service
313,Community alarms and Telecare,Live,"The community alarm service provides peace of mind for people who feel at risk in their own homes. It is a 24 hour 365 day monitoring service which works via a special alarm unit connected to the telephone line. 
In the UK Telecare provides support to people in their own homes with the help of technology and community response services, allowing them to live more safely and independently. The equipment available is designed to assist a wide range of people, including older people, people with disabilities and carers.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Care/scan/community alarm services' to 'Social services - community alarm services' in version 3.00.  Changed name from 'Social services - community alarm services' to 'Social services - Community alarms and Telecare' in version 3.07.  Changed name for SSL and scope  notes in version 3.07. Name changed to 'Community alarms and Telecare' in version 4.00.,Service
272,Community and accessible transport,Live,"Provision of  transport for members of the community who do not have full mobility and therefore do not have suitable conventional public transport services available for their travel needs.  Includes schemes such as 'dial-a-ride', shopmobility, community bus and car schemes and taxis or mini-cabs which can be privately ordered.",2013-03-04,2013-04-03,Label and description modified to include other assistance in April 2020,Service
719,Community assemblies and committees,Live,Publication of details of local assemblies and committees and the dates and venues for forthcoming meetings.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Assemblies and committees - diary and year book' to 'Community assemblies and committees - schedule of meetings' in version 3.00. Name changed to 'Community assemblies and committees' in version 4.00.,Service
1653,Community asset transfer,Live,The transfer of land or buildings from the council's freehold ownership into the stewardship and/or ownership of third sector organisations.  Local people are often best placed to manage community facilities in their area. They already make extensive use of these assets and their local knowledge and hands-on management often results in lower overheads and better value-for-money.  Organisations are able to apply for a community asset transfer of facilities where they can put a business case and show the community benefit for doing so.,2013-09-27,2013-09-27,"Added in version 4.0.1 to the English hand welsh, local government service list.",Service
1149,Community centres,Live,"Community Centres are a physical resource, which acts as a focal point for activities run by communities coming together through geographic proximity or because of a particular interest and/or identity.   Centres provide meeting places for local interest based clubs and societies, venues for adult education classes and public meetings, offices for community projects, plus they also have many other uses. Centres would be lifeless buildings, lacking in character, if they were not 'owned' by communities. People provide the warmth, which makes centres welcoming to communities.",2013-04-03,2019-05-16,Added in version 3.05.,Service
1043,Community Councils - information,Live,"The primary purpose of community councils is to ascertain and express the views of the community to the local authority and other public bodies. Many community councils also involve themselves in a wide range of other activities including fundraising, organising community events, undertaking environmental and educational projects and much more.",2013-04-03,2013-04-03,,Service
366,Community engagement,Live,"Community engagement provides a link between local people, local organisations and decision makers.   Physical or virtual meetings and dialogues provide an opportunity for local leaders to listen to the views of their communities and for local people to have their say.",2013-03-04,2013-04-03,Description updated in April 2020 review,Service
1402,Community equipment loans,Live,"Public organisations may keep supplies of some materials which they will loan to members of the public or local organisations.  Items which may be loaned can be items needed to improve safety at organised events such as fenceposts, crush barriers and safety vests, medical equipment for events or for individuals, technology equipment or anything which can benefit local citizens or voluntary groups.",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Community equipment loans' and scope notes revised in version 4.00.,Service
755,Community facility grants,Live,Provision of grants for improvements to village halls and other local facilities subject to local terms and conditions.,2013-04-03,2013-04-03,"Added scope notes in version 2.02. Term name changed from 'Village halls (advice, grants etc.)' to 'Grants - community facilities' in version 3.00. Name changed to 'Community facility grants' in version 4.00.",Service
746,Community farms,Live,Farms and smallholdings managed by the local authority on behalf of the community.   Community farms provide an opportunity for children to learn about where food comes from and witness the hustle and bustle and all the elements of a working countryside farm within an urban setting.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Farm management' to 'Farming - farm management' in version 3.00. Name changed to 'Community farms' in version 4.00.,Service
802,Community fire safety,Live,The local fire authority will help residents and businesses minimise the risk of fire in their homes or place of work by providing advice on fire prevention and protection.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Community fire safety' to 'Fire and rescue - community safety' in version 3.00. Name changed to 'Community fire safety' in version 4.00.,Service
871,Community grants,Live,Funding made available to community or voluntary groups and organisations which are based in the local area and/or provide services to local people. ,2013-04-03,2013-04-03,Term name changed from 'Community grants' to 'Grants - community' in version 3.00. Name changed to 'Community grants' and scope notes revised in version 4.00.,Service
1711,Community infrastructure levy (CIL),Live,The Community Infrastructure Levy (CIL) is a planning charge that Local Authorities and the Mayor of London can set on new development to help pay for community infrastructure.,2014-02-20,2014-02-20,,Service
1412,Community noticeboards,Live,"Provision of noticeboards which can be used  to inform local people about what is going on in their area; providing information from the local council, the Police and other partner organisations as well as information on activities run by local communities and organisations.",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Community noticeboards' and scope notes revised in version 4.00.,Service
1752,Community protection notice,Live,"A Community Protection Notice can be issued to stop a business, organisation or person over the age of 16 committing anti-social behaviour which spoils the community's quality of life. It can be used to deal with particular on-going problems or nuisances which negatively impact on or affect the community, by targeting those responsible. It can cover a wide range of anti-social behaviours and can be used against a wide range of perpetrators.",2015-06-22,2015-06-22,,Service
1096,Community Reparation Orders,Live,"CROs are a low tariff order and will be confined to summary cases - i.e. crimes of a less serious nature that are heard without a jury in the district and sheriff courts. They focus specifically on making reparation for anti-social behaviour by providing 10 to 100 hours of unpaid work. CROs will expand the existing range of community disposals. Existing disposals with a restorative element are either high tariff, for example community service orders, or designed to deal with a specific group, such as supervised attendance orders for fine defaulters",2013-04-03,2013-04-03,Name changed to 'Community Reparation orders' in version 4.00,Service
870,Community safety,Live,"Crime, fear of crime and anti-social behaviour is an important consideration for local communities.   Various agencies, including the local council and police, work with the community to reduce crime and risks to safety and to maintain quality of life for people who live, work and visit the area.",2013-04-03,2013-04-03,Scope notes revised in version 4.00.,Service
1097,Community service orders,Live,In law community service is an alternative to custody. It offers offenders the opportunity to make reparation to the community for the offences they have committed by undertaking work for community groups and individuals who are unable for a variety of reason to carry out the work for themselves.,2013-04-03,2013-04-03,Name changed to 'Community Service orders' in version 4.00,Service
720,Community strategy,Live,"Preparation of a community strategy to promote and improve the economic, social and environmental well-being of the local area and to contribute to the achievement of sustainable development. 
In Scotland legislation places duties on local authorities - to initiate, facilitate and maintain Community Planning. Local authorities have a duty to develop a comprehensive Community Plan along with relevant stakeholders to promote or improve the social, economic and environmental well-being of their areas and contribute to the achievement of sustainable development in Scotland.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish legislation.,Service
297,Community support groups and organisations,Live,"Information about recognised groups and organisations that provide advice and support for those who may be in need of community care such as the elderly, disabled or those with learning difficulties.",2013-04-03,2013-04-03,Term name changed from 'Support groups and organisations' to 'Community support groups and organisations' and scope notes added in version 2.02. Term name changed from 'Community support groups and organisations' to 'Social services - community support groups and organisations - information' in version 3.00. Name changed to 'Community support groups and organisations' in version 4.00.,Service
1044,Community wardens,Live,"Wardens deal with a range of quality of life issues, such as keeping neighbourhoods clean, removing graffiti and reporting any issues to the relevant organisations and authorities. The Wardens work with the Police and other agencies to help reduce crime, the fear of crime and all types of antisocial behaviour.",2013-04-03,2013-04-03,,Service
1194,Company registration,Live,"Registration of a new trading company with the relevant authorities. 
Anyone wishing to register a new company in the UK must do so with Companies House (Companies Registry in Northern Ireland)",2013-04-03,2013-04-03,Added in version 3.07,Service
1418,Compensation - municipal planning decisions,Live,"Residents may be entitled to compensation where the local planning authority revises the protection status of an area by such decisions as changing the planning zone, removing planning restrictions etc.  Compensation may be payable where such decisions are considered to have adversely affected either the quality of life or property value of residents.",2013-04-03,2013-04-03,Added in version 3.09.,Service
1186,Competent person (building) registration,Live,Businesses carrying out work covered by the Building Regulations may choose to join a competent person scheme which allows individuals and enterprises to self-certify that their work complies with the Building Regulations as an alternative to submitting a building notice or using an approved inspector,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Competent person (building) registration' in version 4.00.,Service
645,Complaints advocacy,Live,Provision of an advocate who can act on behalf of a customer who has made a complaint about one or more services provided by the local authority.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Complaints - advocacy' to 'Council - complaints - advocacy for complainants' in version 3.00. Name changed to 'Complaints advocacy' in version 4.00.,Service
353,Complaints procedure,Live,"Provision of a means for local residents and businesses to comment or complain about any of the services it provides.  Complaints may be about the quality of the service,  delays in providing the service, discrimination or the behaviour of council staff or council representatives.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Complaints procedure' in version 4.00.,Service
535,Composters,Live,Provision of composters for recycling garden waste.  These may be available to local residents free of charge or for purchase at a subsidised rate.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Composters' in version 4.00.,Service
714,Compulsory property acquisition,Live,The council can be granted the power to buy or take rights over private property if it falls within a public or private construction project such as housing regeneration or a redevelopment area / project.  Prior to issue of CPOs there should be a consultation and may be a public enquiry.,2013-04-03,2013-04-03,Added scope notes in version 2.02. scope notes changed in version 3.00 to cover full description of service. Term name changed from 'Private property compulsory acquisition' to 'Land and property - compulsory acquisition - private property' in version 3.00. name changed to 'Compulsory property acquisition' in version 4.00.,Service
442,Computers and IT skills,Live,"Details of locations, such as local libraries, where the public can access the internet, make use of equipment and receive instruction to improve their IT skills.",2013-03-04,2019-05-16,Description updated in April 2020 review,Service
373,"Conference, hall and meeting room hire",Live,"Details on any local venues available for private/business hire including the location, size, facilities available, cost and how to book.",2013-03-04,2013-04-03,Description updated in April 2020 review,Service
1355,"Consent for cellars, pavement lights and ventilators under street",Live,"In order to make an opening in the footway for a cellar, pavement lights or ventilation consent to do so must have been previously obtained from the local authority.",2013-04-03,2013-04-03,"Added in version 3.10. Name changed to 'Consent for cellars, pavement lights and ventilators under streets' in version 4.00.",Service
512,Conservation area planning,Live,"The local authority provide advice and consultation to local residents who are considering carrying out any works on or demolition of property within a conservation area. The authority can advise on the need for permission, their procedures, what should be submitted with an application and the matters that will be taken into account in deciding an application.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - conservation advice' to 'Planning - conservation advice' in version 3.00. Name changed to 'Conservation advice' in version 4.00.,Service
1736,Conservation area tree works notification,Live,Anyone wishing to carry out work on trees within a conservation area must give the relevant planning authority six weeks' notice of intention to do these works and must not commence work within that period.  This will give the planning authority time to consider whether or not to place a tree preservation order on the tree or trees.,2014-06-18,2014-06-18,,Service
511,Conservation areas,Live,"Councils have the power to designate as Conservation Areas, areas of special architectural or historic interest, the character or appearance of which it is desirable to preserve or enhance. It is the responsibility of the council to ensure that any new development should be sympathetic to the special architectural and aesthetic qualities of the area, particularly in terms of scale, design, materials and space between buildings.  Councils have a statutory obligation to compile a list containing particulars of any area which has been designated as a conservation area which is available for public inspection.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include maintaining the statutory register. Term name changed from 'Conservation and urban design planning - conservation areas' to 'Planning - conservation areas' in version 3.00. Name changed to 'Conservation areas' in version 4.00.,Service
